orbital_period,planet_radius,stellar_radius,stellar_temp,label
41.688644,2.35545351,0.956122,5703.0,confirmed
41.6855,2.23,0.928,5766.0,confirmed
41.6855,2.57807,1.08,5766.0,confirmed
2.30183,1.12,0.762602,4616.52,candidate
2.302368,1.31258765,0.710995,4720.0,candidate
1.1947488,4.19,0.57,3919.0,candidate
6.178369,9.91257877,0.789478,5015.0,candidate
6.17887,8.84,0.849432,4719.28,candidate
2.71189,4.34,3.16745,6402.0,candidate
18.10549,2.09985108,1.224685,6213.0,candidate
6.7987,1.047,0.282,3648.0,confirmed
79.9999,10.2,0.508,4542.0,candidate
17.77297,26.44,1.25428,5847.0,candidate
0.99656225,32.8,0.5,3727.0,candidate
14.912381,3.55,0.65,4224.0,candidate
0.57303573,3.35,0.43,3570.0,candidate
7.9069606,3.02,0.52,3772.0,candidate
1.0829614,1.56,0.56,3875.0,candidate
0.90552205,1.52,0.5,3710.0,candidate
2.7541129,4.87,0.55,3834.0,candidate
2.75391,3.78,0.436,3918.0,candidate
50.285869,3.47,0.74,4859.0,false_positive
50.27762,209.52,10.96,5141.0,false_positive
0.21219899,1.05,0.37,3468.0,candidate
0.212194,0.77,0.26,3299.0,candidate
1.5778643,7.55,0.73,4811.0,candidate
13.0113,2.43,0.880221,5347.0,candidate
21.204739,9.11013939,1.761722,5154.0,candidate
2.519334,3.91,1.45,6283.0,false_positive
2.5194039,7.65729,1.76,6380.0,false_positive
2.5194078,7.99,1.72,7119.0,false_positive
13.383629,2.87289326,0.815235,5216.0,candidate
13.38382,2.7,0.65973,5113.71,candidate
27.47083,3.36,0.749863,4947.03,candidate
2.8268121,40.1,0.98,5736.0,candidate
0.72091,1.5,0.94,5633.0,confirmed
4.4416421,1.17,0.9,5547.0,candidate
4.441258,1.12422498,0.833852,5450.0,candidate
8.006875,2.384,0.846,5403.0,candidate
3.3643115,85.6,1.32,6240.0,candidate
13.837814,1.96,0.7,4535.0,candidate
7.7991586,1.57,0.7,4535.0,candidate
2.3330982,5.48,0.5,3726.0,candidate
2.33293,3.2,0.224,3508.0,candidate
36.762337,3.44,0.75,4932.0,candidate
19.565799,6.412,0.854,4486.0,candidate
6.3991398,1.85,0.8,5210.0,candidate
15.695142,2.028,0.625,4270.0,candidate
1.9668579,1.51,0.77,5063.0,candidate
12.726743,1.91,0.73,4767.0,candidate
0.18746328,217.0,17.27,46696.0,candidate
8.6382631,8.53,0.5,3720.0,candidate
8.63829,6.81,0.438,3960.0,candidate
8.6381,15.99,0.5,3987.0,candidate
5.7968861,24.2,0.72,4721.0,false_positive
5.79687,27.81,0.79,5192.0,false_positive
22.197992,5.34,0.4,3508.0,candidate
3.2908998,1.57,0.72,4671.0,candidate
0.877214,1.3,0.93,5820.0,confirmed
0.87724,1.565,0.98,5679.0,confirmed
0.87703,1.2,0.990833,5711.17,confirmed
0.877183,1.40575209,0.932487,5705.0,confirmed
2.8964139,2.45,0.42,3547.0,candidate
0.44433632,1.01,0.8,5208.0,candidate
0.444372,1.22,0.82,5540.0,candidate
7.28161,1.78,0.49,3742.0,candidate
7.28116,1.79,0.541438,3726.0,candidate
7.28138,17.0,0.399,3784.0,candidate
7.28131,1.9,0.51,3748.0,candidate
5.28081,10.9,3.01,6227.0,candidate
440.0,16.3,0.85,4600.0,candidate
30.0,22.8,0.89,3400.0,candidate
7.655533,2.328,0.751,5114.0,candidate
27.770388,25.1,0.71,4598.0,false_positive
27.77045,32.79,8.15,5086.0,false_positive
0.259669,0.77,0.69,4340.0,candidate
0.25967056,0.742,0.59,3982.0,candidate
35.621,1.89,0.898,5440.0,candidate
1.9611469,5.93,0.64,4166.0,candidate
1.96133691104,15.86577929,1.06738,4427.0,candidate
40.7302,7.8,0.98,5840.0,candidate
40.7362,7.28,0.85,5618.0,candidate
0.60408352,2.26,0.67,4331.0,candidate
3.52743,1.11,0.257,3624.0,candidate
3.52674,1.32,0.350987,3413.0,candidate
3.5269024,2.98,0.67,4332.0,candidate
6340.0,12.8,0.88,4800.0,candidate
9.321691,17.325,0.678,5089.0,candidate
2.0478,0.90819,0.655,4520.0,confirmed
27.24273,31.73,0.92,6166.0,false_positive
27.242912,18.8,0.9,5547.0,false_positive
1.3951513,0.879,0.32,3390.0,candidate
33.5107,2.14,0.896,5683.0,candidate
33.51569,3.83,0.71,5552.0,candidate
33.513607,2.47313225,0.857642,5628.0,candidate
33.515399,2.03,0.65,4222.0,candidate
4.1698,1.04,0.628461,5053.0,confirmed
12.339133,2.59,0.73,4751.0,candidate
2790.0,12.2,0.93,5100.0,candidate
28.2692,3.35,1.29,5631.0,candidate
28.270642,2.79,0.9,5545.0,candidate
28.271761,2.7100633,0.933556,5548.0,candidate
0.78214992,1.29,0.79,5144.0,candidate
6.4498648,2.63,0.85,5395.0,candidate
1.19478,1.65,0.235,3671.0,false_positive
1.5771832,33.4,1.94,8210.0,false_positive
1.57753,26.0,1.93,7747.0,false_positive
21.140574,31.5,1.29,6205.0,candidate
3.2923818,19.6,1.87,7824.0,candidate
6.90487,53.0,1.45,6599.0,candidate
6.9055211,33.6,1.89,6722.0,candidate
3.0459383,19.0,0.89,5529.0,candidate
3.04622,29.0,0.89,5529.0,candidate
3.238542,1.67,0.69,4446.0,candidate
3.2367,1.58,0.74,4863.0,candidate
6.2719092,60.0,1.81,7254.0,candidate
23.7782,98.0,2.09,7498.0,false_positive
3.979287,37.5,1.84,7430.0,candidate
2.1417519,86.2,1.59,6492.0,candidate
2.4343734,61.4,0.9,5568.0,candidate
1.8490876,17.3,0.96,5693.0,candidate
2.620724,11.7,1.14,6013.0,candidate
2.62077,58.0,1.4,6302.0,candidate
1.314437,3.09990986,1.472064,6009.0,candidate
1.3144014,2.78,1.23,6137.0,candidate
4.8045244,3.62,1.28,6187.0,candidate
6.479656,3.33165021,0.921539,5586.0,candidate
6.4804111,3.39,0.89,5537.0,candidate
2.8445331,65.3,1.16,6045.0,candidate
4.1376047,7.33,0.7,4581.0,candidate
0.689647,6.58,1.08,6481.0,candidate
4.1687922,16.1,1.14,6005.0,candidate
5.31937553733,19.66846395,2.36934,6350.0,candidate
12.86772,71.0,1.79,6861.0,false_positive
12.866539,22.3,1.18,6066.0,false_positive
1.8461222,19.5,1.82,7536.0,false_positive
1.84617,2.14,0.21,3252.0,false_positive
11.975818,8.43,0.28,3320.0,candidate
11.97495,256.0,3.4,5200.0,candidate
28.707623,21.2,1.03,5838.0,candidate
15.4715,9.2,1.89,5791.0,candidate
15.465691,4.13,0.76,4989.0,candidate
15.466674,16.12109089,1.231429,5807.0,candidate
3.3262396,1.16,0.33,3404.0,candidate
4.474513,8.16881084,2.221057,6081.0,candidate
4.4743465,3.06,0.81,5248.0,candidate
2.1989041,46.6,0.75,4938.0,candidate
4.1657292,1.86,0.36,3442.0,candidate
1.7359447,1.89,0.84,5354.0,candidate
1.8389349,0.837,0.58,3930.0,candidate
1.859017,64.0,2.03,6842.0,candidate
1.8590179,30.5,1.33,6244.0,candidate
540.0,5.7,0.94,5200.0,candidate
0.841202,82.0,2.31,6237.0,false_positive
0.8411257,0.884,0.66,4289.0,candidate
0.17566,3.11,1.15,6620.0,candidate
22.7984,9.0,1.37,6195.0,false_positive
1.404411,99.0,2.02,6933.0,false_positive
1.4044283,3.66,0.12,2721.0,false_positive
3.4007758,5.57,0.89,5520.0,candidate
8.2758,10.2,1.6,5926.0,false_positive
8.2766395,0.724,0.11,2586.0,false_positive
28.465633,18.4,0.96,5700.0,candidate
83830.0,12.0,0.74,4000.0,candidate
1.153886,99.0,1.8,6841.0,candidate
1.6398934,33.0,0.79,5175.0,candidate
1.486243,58.0,1.87,5991.0,false_positive
23.210585,5.7,0.81,5244.0,candidate
24.193613,30.7,0.87,5457.0,candidate
10.2236,132.0,2.04,6960.0,candidate
23.277669,32.8,0.68,4379.0,candidate
2.2,8.4,0.87,4800.0,candidate
2.6454165,9.47,0.79,5179.0,candidate
1.94297,2.571,0.436,3197.0,candidate
1.3179,55.0,1.07,5876.0,false_positive
46.40651,3.35,0.73,4812.0,candidate
16.563155,1.66,0.48,3669.0,candidate
18.357773,1.74,0.75,4937.0,candidate
4.9818921,2.66,1.04,5849.0,candidate
4.981838,2.39347065,0.978267,5774.0,candidate
4.98205,2.3,1.01,5594.0,candidate
3.3055191,1.27,0.35,3430.0,candidate
8.0241306,4.42,0.58,3939.0,false_positive
8.02415,194.0,6.1,4734.0,false_positive
11.31009,130.0,10.0,4793.0,candidate
16.63311,44.0,2.19,5700.0,candidate
16.63237,10.7,0.47,3648.0,candidate
4.377326,27.0,1.43,5928.0,false_positive
4.3772986,16.6,0.78,5102.0,false_positive
0.980414,1.58,0.66,4202.0,candidate
0.98036126,1.44,0.58,3932.0,candidate
2.4165066,0.988,0.38,3483.0,candidate
4.4984354,3.12,0.66,4309.0,candidate
2.3240489,33.4,0.78,5107.0,candidate
14.658196,1.6,0.45,3610.0,candidate
16.858,5.6,1.07,5957.0,candidate
8.1191,57.0,1.2,6040.0,candidate
16.235,11.0,1.2,6040.0,candidate
24.9922,36.0,1.2,6040.0,false_positive
27.270191,2.5,1.612,6171.0,candidate
2.475527,42.0,1.06,5962.0,candidate
2.475641,5.02277659,0.824753,5257.0,candidate
2.4756313,2.48,0.81,5239.0,candidate
17.7256773,15.4613,1.63,6010.0,candidate
17.725837,6.63,1.11,5971.0,candidate
17.72507,45.0,1.33,6189.0,candidate
54.169832,22.0,0.55,3836.0,candidate
8.050722,1.31,0.83,5502.7,confirmed
14.353438,2.159584,0.82797,5317.0,candidate
14.353347,2.19,0.79,5162.0,candidate
2.3181466,2.9,0.67,4343.0,candidate
12.4292,1.1126,0.814,5414.0,false_positive
19.44212,22.0,0.35,3864.0,false_positive
19.441899,4.15,0.11,2601.0,false_positive
0.80032756,21.3,0.61,4028.0,candidate
12.2631,1.87,0.717,5106.0,candidate
12.263354,2.16,0.76,4980.0,candidate
0.911724,1.4,1.1,5724.0,confirmed
0.9116567,1.35,0.94,5648.0,confirmed
14.641541,2.94,0.94,5648.0,confirmed
14.637,4.0,1.5,6438.0,confirmed
14.647531,2.6,1.1,5724.0,confirmed
9.3826,2.39,1.38,6377.0,candidate
9.3813402,2.86,1.39,6305.0,candidate
4.2304959,2.56,0.67,4335.0,candidate
4.1107634,1.01,0.18,2989.0,candidate
1.131316,4.6,1.32,6292.0,candidate
5.2986,1.7,0.5,4114.0,confirmed
0.35490972,1.45,0.57,3893.0,confirmed
0.354884,1.2,0.5,4114.0,confirmed
14.454495,2.21,0.7,4521.0,candidate
28.564994,2.25,0.68,4418.0,candidate
5.87672094142,8.02139241,0.807445,4111.0,candidate
5.8796123,6.5,0.62,4089.0,candidate
5.87975,3.76,0.393,4056.0,candidate
25.2768,25.0,0.52,4215.0,false_positive
3.291897,3.39,0.395,3850.0,candidate
3.2920598,4.54,0.52,3764.0,candidate
7.445026,2.2805044,0.825169,5277.0,candidate
7.4448754,2.11,0.78,5132.0,candidate
54.976021,39.1,1.41,6333.0,candidate
2.573088,34.0,2.5,5165.0,candidate
2.5730187,17.2,0.69,4488.0,candidate
0.35840528,1.92,1.04,5862.0,candidate
0.358378,1.65,0.89,5928.0,candidate
0.367453,2.55,0.95,6167.0,candidate
0.36747226,3.32,1.29,6205.0,candidate
0.367473,3.55452348,1.26302,6060.0,candidate
3.5990666,1.62,0.78,5107.0,candidate
3.59905,1.58797235,0.826124,5459.0,candidate
3.59912,1.46,0.82,5518.0,candidate
2.255436,1.0,0.25,3297.0,confirmed
0.62309386,2.52,0.65,4231.0,candidate
1.35823,1.44,0.95,5675.0,false_positive
0.4348359,1.59,0.5,3714.0,candidate
0.434827,1.62,0.5,3724.0,candidate
1.5339666,1.47,0.52,3757.0,candidate
1.53402,1.13,0.520027,3698.0,candidate
17.501662,2.63,0.73,4749.0,confirmed
17.515472,2.094,0.758,4752.0,confirmed
23.8039,12.0,0.48,4840.0,candidate
0.442094,1.16,0.77,5007.0,candidate
0.44214967,1.32,0.76,4977.0,candidate
18.415126,69.44309317,3.465887,6211.0,candidate
18.406118,5.2,1.84,6684.0,candidate
10.4404,0.6739,0.746,4893.0,candidate
27.837146,5.149,0.64,4241.0,candidate
2.2021868,56.5,0.96,5695.0,candidate
20.398071,2.57901435,0.777455,5199.0,candidate
20.398147,2.93,0.85,5399.0,candidate
17.812866,22.5,0.92,5613.0,candidate
17.81188,21.6,0.93,5554.0,candidate
2.931226,90.0,1.12,6097.0,candidate
6.3878,65.0,1.25,6668.0,false_positive
1.81449,27.0,0.92,5614.0,candidate
22.4844,79.0,1.15,6173.0,candidate
3.47323985883,16.65896453,1.56373,7406.97,candidate
3.47451,10.6,1.83,7143.0,candidate
0.369181,16.5,2.22,6020.0,candidate
6.71694,39.0,0.82,5267.0,candidate
3.951971,8.44551389,0.692034,4672.0,candidate
14.08549,21.1,1.32,5970.0,candidate
1.31559,102.0,2.3,6721.0,false_positive
0.969967,59.0,1.54,5272.0,false_positive
0.970016,6.29,0.87,5838.0,false_positive
23.9683,1.6119,1.129,5296.0,candidate
19.860476,2.08349198,0.696718,4760.0,candidate
4.72048898787,14.61863458,0.489916,3553.0,candidate
1.1489833,76.0,2.0,5137.0,false_positive
2.16595219375,2.91081826,1.30635,6194.54,candidate
4.86406,1.09,0.298809,3407.0,candidate
0.567055,16.22,1.42,7020.0,candidate
14.145239,14.86409395,2.15381,5016.0,candidate
14.14459,16.6,2.69,5011.0,candidate
2.38669,3.5,0.29,3676.0,candidate
27.353103,3.05048319,1.448467,6148.0,candidate
2.35771,3.0,0.267,3655.0,candidate
1.396291,1.89,1.02,5728.0,candidate
5.1718,0.8891,0.954,5941.0,candidate
5.7408,1.0668,0.76,5342.0,candidate
25.2208,65.0,1.41,6257.0,false_positive
0.8706763,6.52133,1.47,6121.0,false_positive
0.870775,3.97,0.88,5875.0,false_positive
0.870673,21.0,1.74,5647.0,false_positive
59.848566,10.81438298,0.983415,5738.0,candidate
59.847399221,11.75567728,1.09215,5765.3,candidate
29.12555,205.0,3.9,4936.0,false_positive
2.410271,17.3,1.51,6390.0,candidate
20.5949,1.5097,1.059,5969.0,candidate
20.600656,2.166,1.059,5969.0,candidate
0.950356,6.94,0.94,6125.0,false_positive
1.702301,19.1,1.28,6116.0,candidate
0.349935,2.18,0.76,4925.0,candidate
7.1149,0.9835,0.953,5534.0,candidate
14.643071,66.04981083,13.183733,4883.0,candidate
2.349455,15.8,1.81,7056.0,candidate
2.349515,53.42672849,5.410002,6254.0,candidate
2.3494903,14.6551,1.51,7418.5,candidate
11.55059,1.98,0.469901,3677.0,candidate
0.19785,0.72,0.469901,3677.0,candidate
3.1393667,15.9004,1.52,5653.4,candidate
3.1393226,15.43,1.5,6283.0,candidate
3.139404,16.419,1.53,5716.0,candidate
1.38521606684,6.52719853,1.451,6294.0,candidate
13.8240078,2.38171,0.71,5129.0,candidate
22.194346,3.174,1.069,5660.0,candidate
4.9898664,9.128,1.63,6242.0,candidate
0.22181,1.13,0.585409,3942.0,candidate
0.46395,0.85,0.42,3563.0,candidate
0.46395,0.84,0.491813,3720.0,candidate
4.871902,15.383,1.817,6466.0,candidate
4.8718955,14.64,1.82,6972.0,candidate
4.8740385,14.3194,1.8,6504.4,candidate
8.514184,38.298,8.384,4885.0,candidate
9.967689,2.005,1.031,5882.0,candidate
5.03207,36.70955114,3.685008,5070.0,candidate
5.176243,19.44301811,1.118972,6185.0,candidate
1.61092,0.75,0.409602,3511.0,candidate
2.17807,0.65,0.409602,3511.0,candidate
4.96883,0.67,0.409602,3511.0,candidate
4.332837,2.263,0.725,4768.0,candidate
1.1524,0.6746,1.057,5992.0,candidate
20.486455,2.762,0.371,3664.0,candidate
12.17682,2.244,0.637,4477.0,candidate
10.542179,3.123,0.916,5441.0,candidate
2.126953,1.7,0.573,4020.0,candidate
42.3822512,2.58,0.86,5568.0,candidate
41.9,2.28,0.86,5568.0,candidate
2.00745282887,7.16393472,0.490442,3449.0,candidate
3.544965,1.9,0.701,4860.0,candidate
26.0,10.48,1.57,6414.0,candidate
37.246869,23.8036385,1.475643,5445.0,candidate
5.513327,3.9,0.77,5020.0,candidate
0.53027,1.4,0.558,3880.0,candidate
23.89959501695,12.83075359,0.76962,4736.5,candidate
23.5306712,9.25,1.9,6688.0,candidate
4.894289,4.1,0.686,4440.0,candidate
12.601781,2.788,1.088,5791.0,candidate
0.769057,2.06,0.54,3832.0,candidate
2.5840753,7.01829,1.4,6119.0,false_positive
2.5844972,10.29,1.39,6471.0,false_positive
15.462807,1.266,0.919,5509.0,candidate
4.7464485,10.3209,2.26,5890.5,candidate
4.746159,12.597,2.207,5878.0,candidate
4.7464962,11.6,2.1,6486.0,candidate
8.952623,8.917,0.856,5258.0,candidate
8.658168,17.16037834,0.818973,5319.0,candidate
2.787663,2.2,0.602,3950.0,candidate
13.798845,1.665,0.68,4980.0,candidate
1.56493,2.22,0.624202,3938.0,candidate
7.5587,2.643,0.677,3974.0,candidate
25.43143,2.887,0.677,3974.0,candidate
9.562742,2.01,0.667217,4349.9,candidate
19.53405,9.82,0.460378,3316.0,candidate
1.106175,8.83310242,0.90632,5851.0,candidate
3.6079916,15.3816,1.89,5308.3,candidate
3.607981,18.3,2.253,6490.0,candidate
2.17693,7.92,0.170856,3176.0,candidate
21.169861,1.98,0.571699,4148.21,confirmed
21.169619,2.2,0.59,3880.0,confirmed
21.1701963,1.92,0.58,4057.0,confirmed
3.48928,0.91,0.682132,3742.0,false_positive
0.45220130587,7.91722863,0.633946,3739.0,candidate
11.09226,2.495,0.703,4496.0,candidate
19.640123,34.30556244,1.743843,6398.0,candidate
10.90364,2.214,0.59,3929.0,candidate
1.648932,9.6,0.46,3440.0,candidate
24.399869,18.43,1.65,6404.0,candidate
24.6237203,2.33,0.91,5650.0,candidate
3.47701708869,11.85710209,0.84127,5225.91,candidate
5.781853,1.44284081,1.383982,5739.0,candidate
19.729071,2.239,0.712,4735.0,candidate
19.491795,5.84689735,1.410092,6046.0,confirmed
19.4921473,5.50689,1.36,6128.0,confirmed
19.49221,5.76,1.39,6069.0,confirmed
19.491965,6.8,1.485,6320.0,confirmed
19.491,5.5,1.387,6019.0,confirmed
19.49213,6.12,1.38,6025.0,confirmed
1.9828041248,10.89107018,0.293047,3213.0,false_positive
29.724674,1.439,0.854,5339.0,candidate
10.55632,2.86,0.722281,4067.08,candidate
1.4835,1.41,0.317944,3200.0,false_positive
63.84825,2.86,0.731598,3973.09,candidate
8.986648,143.0368808,4.260594,5265.0,candidate
0.279258,8.41,0.62,4071.0,candidate
74.8,4.34,0.7,5044.0,candidate
2.714743,1.198,0.415,3634.0,candidate
5.169887,9.1,1.45,6830.0,candidate
5.1699026,9.23587,1.48,6283.4,candidate
4.4455436,15.8181,2.11,6355.8,candidate
4.445559,15.9,2.237,6520.0,candidate
2.783705,2.4,0.939,5890.0,candidate
9.375266,3.545,0.747,4571.0,candidate
7.1123703,1.85858,0.91,5595.7,candidate
7.112134,2.7,1.042,5800.0,candidate
3.209149,5.27465763,0.839324,5182.0,candidate
3.2092033,6.33877,0.91,5060.5,candidate
0.898216,4.02,0.82,5528.0,candidate
6.924808,8.5,0.795,5300.0,candidate
11.480611,23.562,5.415,4692.0,candidate
16.715029,3.402,0.854,5406.0,candidate
2.289363,1.48,0.8,5171.0,confirmed
5.213965,2.27,0.8,5171.0,confirmed
0.595621,0.58303133,0.863058,5338.0,candidate
2.500285,64.215,2.481,6051.0,candidate
3.746332,1.638,0.726,4395.0,candidate
24.006249,23.826,1.506,6150.0,candidate
13.484958,1.56669509,0.843263,5378.0,candidate
17.732736,23.212,1.684,5650.0,candidate
13.52475,2.27671392,0.888236,5570.0,candidate
21.379793,2.088,0.698,4722.0,candidate
2.58148,5.38,0.757718,4076.0,false_positive
14.069759,1.86705079,0.890011,5343.0,candidate
7.785227,7.72094189,1.817689,5084.0,candidate
15.28078,1.26,0.98,6004.0,confirmed
23.226001,2.24459533,0.952744,5928.0,confirmed
23.228555,2.32,0.98,6004.0,confirmed
12.346663,2.345,1.011,5685.0,candidate
0.578657,1.2,0.93,5765.0,confirmed
11.811437,2.3,0.93,5765.0,confirmed
4.35244,14.07,0.764238,4459.0,false_positive
2.85177,3.34,0.387653,3288.0,candidate
11.090822,1.818,0.989,5763.0,candidate
13.843725,6.76064604,1.641721,5465.0,candidate
0.328152,14.79153996,0.990035,5759.0,candidate
1.05459,1.29,0.533176,3445.0,candidate
1.83473,29.93,0.826606,4385.0,false_positive
5.734172,6.2,2.747,5192.0,candidate
25.86125,2.2,0.432453,3653.0,candidate
6.430383,4.309,1.054,5735.0,candidate
6.789076,1.60793495,0.978493,5758.0,candidate
18.517319,1.86157195,0.978493,5758.0,candidate
7.685505,2.084,0.703,5176.0,candidate
13.603,2.586,0.673,4684.0,confirmed
65.55,2.69,0.673,4684.0,confirmed
34.383193,2.856,0.972,5666.0,candidate
19.984217,2.846,1.753,6823.0,candidate
8.491003,2.228,0.841,5432.0,candidate
37.361973,2.74426869,1.116937,5675.0,candidate
4.68189,29.41,0.40606,3368.0,false_positive
4.68199,48.33,0.895684,4636.0,false_positive
24.748442,16.683,0.637,5803.0,candidate
12.24568,2.047,0.796,5329.0,candidate
26.939433,2.869,1.02,5716.0,candidate
12.634794,47.553,10.265,4999.0,candidate
7.535783,3.131,0.659,3990.0,candidate
6.116238,4.886,1.544,6283.0,candidate
9.668373,2.628,0.817,5368.0,candidate
9.770186,3.19260619,0.994327,5631.0,candidate
13.61358,3.39689521,0.780921,4863.0,candidate
1.11704,33.94,0.497973,3506.0,false_positive
4.637911,1.87105305,0.985113,5608.0,candidate
5.059033,1.03801946,0.623766,4455.0,candidate
5.059,1.12,0.67224,4310.0,candidate
10.99044,1.16,0.500884,3584.0,candidate
7.46475831483,11.93024915,1.15577,5357.0,candidate
4.135707,1.59980974,0.76364,4972.0,candidate
6.631247,1.35955936,0.76364,4972.0,candidate
21.521554,2.40003126,1.160188,5694.0,candidate
11.123654,1.71707978,0.820733,5310.0,candidate
14.948966,36.94985751,1.524443,6391.0,candidate
13.125244,1.67711859,0.976723,5742.0,candidate
19.679411,2.31529508,1.002168,5679.0,candidate
3.90723655504,15.34164425,1.17027,5500.0,candidate
9.761854,3.4422482,1.770928,5529.0,candidate
2.78592,14.87,0.470811,3528.0,candidate
21.587326,1.78061635,1.466377,6244.0,candidate
3.041617,8.9894717,0.873673,5250.0,candidate
8.421659,3.45758743,1.229497,5779.0,candidate
9.811589,4.253,1.882,5953.0,candidate
11.5843558517,5.49928933,1.09295,5631.0,candidate
5.0521,2.1388,1.476,6262.0,candidate
5.049068,2.594,1.476,6262.0,candidate
5.29136017752,11.52204139,1.03676,5555.0,candidate
5.292605,9.9778729,0.969695,5689.0,candidate
50.693644,8.68300668,0.792931,5220.0,candidate
50.6939885,8.48837,0.78,5216.0,candidate
0.7988525,4.00703,0.86,4785.0,candidate
7.119856,1.8797781,0.852371,5318.0,candidate
8.90003342005,15.12617706,1.0044,5854.0,candidate
2.5048178,3.9467,0.92,5328.0,candidate
3.68034,1.06218625,0.774992,5121.0,candidate
41.552934,4.15834582,0.724128,4895.0,candidate
23.607902,3.11864589,1.115157,6057.0,candidate
21.98131,197.025,22.415,4491.0,candidate
4.435717,1.32476068,0.846676,5374.0,candidate
4.7535,1.5147,1.27,5986.0,false_positive
12.092199,5.84432297,0.990979,5333.0,candidate
19.496649,2.21599278,1.155241,5758.0,candidate
2.010607,1.28,0.618,3806.0,candidate
0.36432247904,6.95273914,0.347331,3473.0,candidate
7.3274,2.1225,0.96,5197.0,false_positive
4.684559,4.757,1.184,5829.0,candidate
0.762406,0.99,0.89,5620.0,confirmed
0.70531,1.6,1.0,5499.0,confirmed
4.284523,1.30280156,0.62182,4360.0,candidate
57.1050077,5.93946,0.97,5816.0,candidate
2.65323,62.27721531,13.730692,4621.0,candidate
29.435233,2.91662791,1.199507,5785.0,candidate
0.571308,1.46,0.83,5590.0,confirmed
0.5713127,1.676,0.99,5578.0,confirmed
0.571282,1.87,0.995,5496.0,confirmed
